Monat;Übernachtungen isngesamt;Veränderungen zu Vormonat (%);Aufenthaltsdauer (Tage);Ankünfte insgesamt;Veränderungen zum Vormonat (%)
Mai;82098;3,3;2;40965;9,6
Juni;91590;9,5;2;45798;10,3
Juli;97177;9,5;2;49741;7,1
August;95681;11,8;2;48473;8,3
